Aurora,2710,709,690
Beadle,17398,1260,3969
Bennett,3431,1181,1127
Bon Homme,7070,560,1332
Brookings,31965,800,5660
Brown,36531,1674,7992
Brule,5255,818,1294
Buffalo,1912,482,704
Butte,10110,2250,2393
Campbell,1466,732,265
Charles Mix,9129,1097,2535
Clark,3691,964,818
Clay,13864,405,2273
Codington,27227,687,6342
Corson,4050,2470,1317
Custer,8216,1557,1569
Davison,19504,432,4311
Day,5710,1030,1174
Deuel,4364,639,983
Dewey,5301,2351,1709
Douglas,3002,435,652
Edmunds,4071,1154,930
Fall River,7094,1743,1272
Faulk,2364,996,524
Grant,7356,681,1622
Gregory,4271,997,915
Haakon,1937,1816,402
Hamlin,5903,511,1705
Hand,3431,1432,691
Hanson,3331,430,1019
Harding,1255,2682,280
Hughes,17022,748,3816
Hutchinson,7343,815,1661
Hyde,1420,863,304
Jackson,3031,1872,939
Jerauld,2071,527,409
Jones,1006,973,211
Kingsbury,5148,818,1066
Lake,11200,567,2306
Lawrence,24097,800,4464
Lincoln,44828,576,12413
Lyman,3755,1683,1055
Marshall,4656,848,981
McCook,5618,575,1368
McPherson,2459,1147,516
Meade,25434,3465,6008
Mellette,2048,1306,618
Miner,2389,570,538
Minnehaha,169468,813,40091
Moody,6486,523,1595
Oglala Lakota,13586,2100,4009
Pennington,100948,2779,23405
Perkins,2982,2860,609
Potter,2329,869,439
Roberts,10149,1108,2728
Sanborn,2355,570,489
Spink,6415,1505,1541
Stanley,2966,1414,683
Sully,1373,1004,296
Todd,9612,1388,3626
Tripp,5644,1620,1258
Turner,8347,612,1873
Union,14399,452,3566
Walworth,5438,718,1137
Yankton,22438,518,4728
Ziebach,2801,1981,1031
